Date,Open,High,Low,Close
2006-01-03,36.02,37.3,35.9,37.25
2006-01-04,37.1,38.07,36.99,37.38
2006-01-05,37.15,37.32,36.96,37.1
2006-01-06,37.25,37.35,36.86,36.95
2006-01-09,37.0,37.34,36.81,37.31
2006-01-10,37.0,37.04,36.69,36.92
2006-01-11,36.92,37.34,36.74,37.3
2006-01-12,37.48,38.3,37.38,37.67
2006-01-13,37.63,37.81,37.36,37.45
2006-01-17,37.25,37.49,37.21,37.35
2006-01-18,37.15,37.56,37.04,37.12
2006-01-19,37.28,37.33,36.85,36.88
2006-01-20,36.88,37.1,36.2,36.22
2006-01-23,36.1,36.37,35.92,35.96
2006-01-24,36.05,36.44,36.05,36.19
2006-01-25,36.21,36.36,35.58,35.78
2006-01-26,36.03,36.38,36.01,36.01
2006-01-27,35.95,36.0,35.65,35.88
2006-01-30,35.6,35.98,35.59,35.8
2006-01-31,35.6,35.62,34.19,34.22
2006-02-01,34.243,34.69,34.02,34.24
2006-02-02,34.262,34.48,33.61,33.92
2006-02-03,33.85,33.86,33.47,33.7
2006-02-06,33.57,33.72,33.45,33.54
2006-02-07,33.55,34.4,33.55,34.02
2006-02-08,34.33,34.81,34.08,34.67
2006-02-09,35.03,35.15,34.56,34.88
2006-02-10,36.5,38.62,36.45,38.11
2006-02-13,37.95,38.22,37.71,38.06
2006-02-14,37.96,39.06,37.83,38.39
2006-02-15,38.2,38.7,38.2,38.47
2006-02-16,38.5,39.25,38.5,38.9
2006-02-17,38.87,39.11,38.66,39.05
2006-02-21,39.35,39.68,38.91,38.98
2006-02-22,39.03,39.98,39.03,39.64
2006-02-23,39.5,39.76,39.141,39.45
2006-02-24,39.4,39.84,39.25,39.78
2006-02-27,39.88,40.14,39.62,39.62
2006-02-28,39.28,39.64,39.02,39.61
2006-03-01,39.65,40.5,39.6,40.41
2006-03-02,40.25,40.41,39.99,40.25
2006-03-03,40.0,40.33,39.84,39.86
2006-03-06,39.75,40.06,39.64,39.98
2006-03-07,39.76,39.81,39.17,39.35
2006-03-08,39.46,39.75,39.25,39.74
2006-03-09,39.761,40.12,39.3,39.39
2006-03-10,39.3,40.24,39.25,40.14
2006-03-13,40.02,40.58,40.0,40.4
2006-03-14,40.378,40.94,40.13,40.9
2006-03-15,40.6,41.18,40.45,40.98
2006-03-16,40.95,41.44,40.95,41.0
2006-03-17,41.2,41.67,41.06,41.19
2006-03-20,40.45,41.54,40.25,41.21
2006-03-21,40.25,41.25,40.25,41.14
2006-03-22,41.14,41.93,41.14,41.9
2006-03-23,41.75,42.04,41.6,41.71
2006-03-24,41.5,42.16,41.421,41.81
2006-03-27,41.5,41.81,41.5,41.7
2006-03-28,41.76,41.76,41.46,41.6
2006-03-29,41.45,41.59,41.23,41.41
2006-03-30,41.41,41.6,41.23,41.23
2006-03-31,41.25,41.79,41.17,41.51
2006-04-03,41.45,41.58,40.89,40.96
2006-04-04,40.77,41.12,40.74,40.92
2006-04-05,40.92,41.6,40.85,41.5
2006-04-06,40.95,41.66,40.81,41.6
2006-04-07,41.6,41.92,40.64,40.68
2006-04-10,40.6,40.97,40.46,40.67
2006-04-11,40.8,40.84,40.18,40.25
2006-04-12,39.9,40.35,39.83,40.33
2006-04-13,40.34,40.56,40.13,40.47
2006-04-17,40.7,41.61,40.69,40.98
2006-04-18,41.02,42.3,41.02,42.06
2006-04-19,42.0,42.46,42.0,42.31
2006-04-20,42.1,42.5,41.69,41.79
2006-04-21,41.92,42.13,41.72,41.82
2006-04-24,41.69,41.69,41.3,41.42
2006-04-25,41.43,41.48,41.04,41.27
2006-04-26,41.34,41.84,41.19,41.44
2006-04-27,41.45,42.0,41.34,41.8
2006-04-28,41.42,42.23,41.42,41.91
2006-05-01,41.91,42.43,41.67,41.8
2006-05-02,41.74,42.28,41.7,42.28
2006-05-03,42.01,42.5,41.92,42.36
2006-05-04,42.5,42.76,41.62,41.79
2006-05-05,39.7,40.25,37.58,37.84
2006-05-08,37.75,38.18,37.38,37.76
2006-05-09,37.75,37.76,36.75,36.83
2006-05-10,37.11,37.28,36.55,36.92
2006-05-11,37.05,37.15,36.54,36.71
2006-05-12,36.69,36.73,36.35,36.5
2006-05-15,36.1,36.47,35.9,36.08
2006-05-16,36.05,36.71,35.86,36.54
2006-05-17,35.95,36.54,35.52,35.57
2006-05-18,35.57,36.05,35.41,35.5
2006-05-19,35.85,36.83,35.74,36.33
2006-05-22,36.34,36.54,35.98,36.26
2006-05-23,36.13,36.39,35.69,35.83
2006-05-24,35.68,36.04,34.97,35.54
2006-05-25,35.87,36.35,35.78,36.2
2006-05-26,36.4,36.66,36.2,36.6
2006-05-30,36.61,36.61,35.34,35.47
2006-05-31,35.6,36.22,35.49,35.65
2006-06-01,35.8,36.34,35.76,36.34
2006-06-02,36.33,36.55,35.88,36.03
2006-06-05,36.17,36.43,35.16,35.24
2006-06-06,35.43,35.6,34.31,34.6
2006-06-07,35.71,35.71,34.8,34.95
2006-06-08,34.8,34.99,34.28,34.79
