Date,Open,High,Low,Close
2006-01-03,36.875,36.94,36.015,36.94
2006-01-04,37.025,37.47,37.0,37.3
2006-01-05,37.32,37.725,37.32,37.725
2006-01-06,37.85,38.295,37.61,38.155
2006-01-09,38.105,38.61,38.105,38.515
2006-01-10,39.4,39.605,38.3,38.335
2006-01-11,38.1,39.05,38.1,38.835
2006-01-12,38.735,38.98,38.47,38.89
2006-01-13,38.97,39.4,38.955,39.27
2006-01-17,39.45,39.7,39.205,39.565
2006-01-18,39.525,39.625,39.29,39.5
2006-01-19,39.775,40.545,39.575,40.545
2006-01-20,40.2,40.375,39.78,39.785
2006-01-23,39.79,39.795,39.185,39.345
2006-01-24,40.25,40.51,39.285,39.635
2006-01-25,40.0,40.06,39.365,39.425
2006-01-26,39.425,39.43,39.05,39.34
2006-01-27,39.26,39.57,39.125,39.34
2006-01-30,39.43,40.25,39.425,40.25
2006-01-31,40.375,40.925,40.35,40.825
2006-02-01,40.625,41.2,40.6,41.175
2006-02-02,41.0,41.1,40.49,40.725
2006-02-03,40.6,40.86,40.515,40.6
2006-02-06,40.5,41.475,40.5,41.38
2006-02-07,40.415,41.46,40.415,40.96
2006-02-08,40.945,41.25,40.82,41.095
2006-02-09,41.0,41.6,40.95,41.585
2006-02-10,41.585,41.6,41.0,41.465
2006-02-13,41.41,41.415,40.96,41.155
2006-02-14,41.0,41.3,40.73,41.3
2006-02-15,41.0,41.21,40.55,41.085
2006-02-16,41.3,41.355,40.905,41.355
2006-02-17,41.335,41.4664,41.03,41.36
2006-02-21,41.245,41.68,41.165,41.6
2006-02-22,41.6,42.33,41.6,42.17
2006-02-23,42.1,42.125,41.635,41.725
2006-02-24,41.725,42.07,41.555,42.03
2006-02-27,42.275,42.39,42.035,42.285
2006-02-28,42.16,42.16,41.62,41.85
2006-03-01,41.885,41.96,41.01,41.5
2006-03-02,41.41,41.415,40.745,41.105
2006-03-03,41.055,42.005,40.905,41.67
2006-03-06,41.75,41.845,41.34,41.38
2006-03-07,41.275,41.5,40.805,41.205
2006-03-08,41.205,41.275,40.63,41.275
2006-03-09,41.225,41.855,41.225,41.455
2006-03-10,41.45,41.71,41.27,41.47
2006-03-13,41.4,41.62,41.375,41.6
2006-03-14,41.505,42.395,41.485,42.36
2006-03-15,42.1,42.325,41.985,42.275
2006-03-16,42.275,42.655,42.21,42.435
2006-03-17,42.5,42.5,42.16,42.37
2006-03-20,42.32,42.385,41.865,41.875
2006-03-21,41.6,42.375,41.58,41.965
2006-03-22,41.645,42.65,41.645,42.445
2006-03-23,42.32,42.54,42.235,42.435
2006-03-24,42.325,42.81,42.25,42.725
2006-03-27,42.78,43.415,42.765,43.285
2006-03-28,42.95,43.525,42.95,43.32
