Date,Open,High,Low,Close
2006-01-03,8.6833,8.7733,8.45,8.7433
2006-01-04,8.71,8.9133,8.6333,8.7933
2006-01-05,8.7933,8.88,8.7633,8.8067
2006-01-06,8.88,9.1267,8.8067,9.0933
2006-01-09,9.04,9.1633,8.95,9.15
2006-01-10,9.0867,9.14,9.0367,9.1367
2006-01-11,9.1433,9.2,9.08,9.1667
2006-01-12,9.1267,9.31,9.1233,9.2767
2006-01-13,9.2867,9.3337,9.19,9.3167
2006-01-17,9.2467,9.3967,9.2167,9.3667
2006-01-18,9.3633,9.43,9.29,9.3967
2006-01-19,9.3967,9.46,9.3,9.3967
2006-01-20,9.32,9.3767,9.2167,9.2533
2006-01-23,9.25,9.3,9.15,9.1633
2006-01-24,9.1567,9.1967,9.0367,9.17
2006-01-25,9.1433,9.1767,9.0367,9.0967
2006-01-26,9.1633,9.3467,9.11,9.3167
2006-01-27,9.3,9.4833,9.24,9.4167
2006-01-30,9.45,9.45,9.2533,9.27
2006-01-31,9.2933,9.3467,9.24,9.2733
2006-02-01,9.1967,9.3867,9.17,9.33
2006-02-02,9.1667,9.2,8.97,9.0067
2006-02-03,8.9367,9.0967,8.92,9.0267
2006-02-06,9.0567,9.34,8.9567,8.98
2006-02-07,8.9633,9.0133,8.9067,8.9467
2006-02-08,8.9567,9.0233,8.9067,9.0067
2006-02-09,9.02,9.05,8.8567,8.87
2006-02-10,8.7833,8.9,8.7167,8.85
2006-02-13,8.8367,8.8367,8.7067,8.7333
2006-02-14,8.7733,8.89,8.7333,8.85
2006-02-15,8.8367,8.9033,8.7967,8.8467
2006-02-16,8.8467,8.8667,8.79,8.8367
2006-02-17,8.8367,8.86,8.7667,8.77
2006-02-21,8.77,8.7933,8.6667,8.75
2006-02-22,8.7767,8.9633,8.7667,8.84
2006-02-23,8.8,8.93,8.7567,8.85
2006-02-24,8.8167,8.8567,8.75,8.83
2006-02-27,8.87,9.0,8.8533,8.9467
2006-02-28,8.91,9.0,8.8633,8.9433
2006-03-01,8.9167,9.1767,8.8833,9.1233
2006-03-02,9.0733,9.1367,9.0067,9.1267
2006-03-03,9.0267,9.1733,8.99,9.0567
