Date,Open,High,Low,Close
2006-01-03,12.26,12.34,12.11,12.31
2006-01-04,12.36,12.44,12.21,12.35
2006-01-05,12.3,12.36,12.08,12.13
2006-01-06,12.13,12.39,12.11,12.35
2006-01-09,12.34,12.41,12.236,12.4
2006-01-10,12.31,12.51,12.26,12.42
2006-01-11,12.52,12.83,12.41,12.79
2006-01-12,12.79,12.83,12.56,12.59
2006-01-13,12.56,12.95,12.54,12.93
2006-01-17,13.1,13.32,13.04,13.29
2006-01-18,13.37,13.5,13.12,13.26
2006-01-19,13.4,13.75,13.3,13.58
2006-01-20,13.89,13.95,13.6,13.8
2006-01-23,13.8,13.8,13.51,13.53
2006-01-24,13.549,13.53,13.32,13.34
2006-01-25,13.35,13.36,12.97,13.02
2006-01-26,13.1,13.15,12.69,13.0
2006-01-27,13.08,13.65,13.08,13.57
2006-01-30,13.54,13.7,13.37,13.66
2006-01-31,13.55,13.66,13.4,13.46
2006-02-01,13.483,13.56,13.26,13.38
2006-02-02,13.2,13.3,12.85,12.98
2006-02-03,12.96,13.21,12.85,13.08
2006-02-06,13.23,13.49,13.21,13.26
2006-02-07,13.27,13.27,12.77,12.78
2006-02-08,12.8,12.96,12.65,12.66
2006-02-09,12.7,12.97,12.48,12.51
2006-02-10,12.58,12.63,12.32,12.54
2006-02-13,12.54,12.6,12.32,12.38
2006-02-14,12.31,12.5,12.21,12.38
2006-02-15,12.4,12.59,12.27,12.38
2006-02-16,12.44,13.3,12.42,13.11
2006-02-17,13.2,13.6,13.2,13.46
2006-02-21,13.41,13.59,13.41,13.53
2006-02-22,13.53,13.53,13.15,13.38
2006-02-23,13.21,13.39,13.05,13.25
2006-02-24,13.43,13.59,13.42,13.58
2006-02-27,13.44,13.55,13.27,13.29
2006-02-28,13.19,13.19,12.9,13.08
2006-03-01,12.97,13.15,12.66,12.87
2006-03-02,12.89,13.08,12.71,12.99
2006-03-03,12.98,13.04,12.88,12.97
2006-03-06,12.79,12.8,12.27,12.3
2006-03-07,12.32,12.42,11.99,12.07
2006-03-08,12.11,12.19,11.84,12.14
2006-03-09,12.29,12.4,11.97,11.98
2006-03-10,11.94,12.07,11.86,12.02
2006-03-13,12.18,12.33,12.1,12.21
2006-03-14,12.232,12.39,12.05,12.39
2006-03-15,12.29,12.36,12.14,12.16
2006-03-16,12.18,12.4,12.07,12.31
2006-03-17,12.48,12.49,12.26,12.32
2006-03-20,12.22,12.36,12.06,12.07
2006-03-21,12.07,12.11,11.8,11.88
2006-03-22,11.8,12.0,11.8,11.9
2006-03-23,11.87,12.05,11.84,11.99
2006-03-24,11.99,12.17,11.96,12.01
2006-03-27,11.94,12.01,11.85,11.97
2006-03-28,11.84,12.18,11.84,12.16
2006-03-29,12.16,12.27,12.12,12.22
2006-03-30,12.18,12.27,12.15,12.21
2006-03-31,12.17,12.21,12.0,12.05
2006-04-03,12.14,12.28,12.03,12.07
2006-04-04,12.07,12.15,11.98,12.07
2006-04-05,12.14,12.31,12.08,12.24
2006-04-06,12.32,12.5,12.3,12.49
2006-04-07,12.41,12.47,12.2,12.23
2006-04-10,12.29,12.43,12.21,12.22
2006-04-11,12.27,12.36,11.91,12.02
2006-04-12,12.17,12.17,11.9,11.97
2006-04-13,11.86,12.08,11.85,12.06
2006-04-17,12.15,12.2799,12.11,12.23
2006-04-18,12.33,12.54,12.3,12.5
2006-04-19,12.43,12.76,12.41,12.75
2006-04-20,12.69,12.74,12.41,12.68
2006-04-21,12.78,12.89,12.64,12.78
2006-04-24,12.86,12.89,12.62,12.75
2006-04-25,12.75,12.8,12.57,12.78
2006-04-26,12.78,12.96,12.66,12.79
2006-04-27,12.58,13.01,12.58,12.88
2006-04-28,12.88,13.03,12.81,12.91
2006-05-01,12.96,13.24,12.96,13.18
2006-05-02,13.32,13.59,13.23,13.56
2006-05-03,13.57,13.57,13.34,13.47
