Date,Open,High,Low,Close
2006-01-03,55.71,56.67,55.4,56.64
2006-01-04,56.56,56.62,55.85,56.57
2006-01-05,56.5,56.57,56.26,56.37
2006-01-06,56.6,56.99,56.31,56.69
2006-01-09,56.5,56.81,56.13,56.45
2006-01-10,56.32,56.8,56.15,56.66
2006-01-11,56.74,57.03,56.35,56.67
2006-01-12,56.68,57.19,56.55,56.68
2006-01-13,56.68,56.78,56.36,56.54
2006-01-17,56.34,57.26,56.19,57.25
2006-01-18,56.76,57.16,56.68,56.76
2006-01-19,56.85,57.36,56.43,57.34
2006-01-20,57.42,57.57,56.66,56.66
2006-01-23,56.69,56.97,56.501,56.61
2006-01-24,56.67,57.55,56.67,57.43
2006-01-25,57.55,57.75,56.85,57.2
2006-01-26,57.34,57.58,56.67,56.68
2006-01-27,56.88,57.41,56.88,57.21
2006-01-30,57.11,57.17,56.3,56.35
2006-01-31,56.4,56.44,55.5,56.08
2006-02-01,56.103,55.52,54.19,54.65
2006-02-02,54.4,54.55,53.08,53.46
2006-02-03,53.1,53.38,52.6,52.9
2006-02-06,52.7,52.89,52.2,52.79
2006-02-07,52.69,52.82,52.35,52.56
2006-02-08,52.54,52.54,52.0,52.19
2006-02-09,52.43,53.08,52.36,52.51
2006-02-10,52.41,52.76,52.15,52.5
2006-02-13,52.49,52.7,52.25,52.4
2006-02-14,52.98,52.98,52.39,52.7
2006-02-15,52.6,52.81,52.15,52.15
2006-02-16,52.16,53.02,52.11,52.9
2006-02-17,52.87,53.07,52.67,52.95
2006-02-21,53.25,53.45,52.66,52.73
2006-02-22,52.83,53.34,52.61,53.33
2006-02-23,53.4,53.73,53.21,53.73
2006-02-24,53.15,53.31,52.75,53.14
2006-02-27,53.14,53.41,52.9,52.9
2006-02-28,52.9,53.06,52.23,52.55
2006-03-01,52.7,52.7,52.11,52.39
2006-03-02,52.39,52.39,51.94,52.21
2006-03-03,52.0,52.5,51.89,52.0
2006-03-06,52.02,52.02,50.96,51.06
2006-03-07,50.94,51.33,50.62,51.33
2006-03-08,51.33,51.39,50.51,51.15
2006-03-09,51.15,51.15,50.7,50.71
2006-03-10,50.82,51.26,50.59,50.99
2006-03-13,51.16,51.36,50.78,50.99
2006-03-14,50.99,51.18,50.8225,51.15
2006-03-15,51.2,51.41,50.81,51.4
2006-03-16,51.5,51.73,51.46,51.6
2006-03-17,51.6,51.79,51.4,51.7
2006-03-20,51.7,51.88,51.01,51.1
2006-03-21,51.05,51.26,50.16,50.34
2006-03-22,50.35,50.68,50.13,50.37
2006-03-23,50.22,50.46,49.99,49.99
2006-03-24,49.99,50.04,49.51,49.76
2006-03-27,49.56,49.85,49.1301,49.47
2006-03-28,49.48,49.48,49.1,49.33
2006-03-29,49.34,49.6,49.09,49.36
2006-03-30,49.45,49.55,49.07,49.4
2006-03-31,49.49,49.59,49.02,49.22
2006-04-03,51.0,51.0,49.66,49.89
2006-04-04,51.25,51.53,50.39,51.03
2006-04-05,50.89,51.6,50.59,51.59
2006-04-06,51.55,51.56,50.79,51.06
2006-04-07,50.93,51.17,50.26,50.35
2006-04-10,50.48,50.84,50.33,50.55
2006-04-11,50.63,50.8,49.49,49.75
2006-04-12,49.77,49.91,49.36,49.45
2006-04-13,49.3,49.55,49.01,49.25
2006-04-17,49.24,49.31,48.83,49.15
2006-04-18,49.18,49.8,49.1,49.8
2006-04-19,49.73,50.01,49.36,49.61
2006-04-20,49.54,50.02,49.53,49.95
2006-04-21,50.03,50.19,49.26,49.63
2006-04-24,49.53,49.7,49.18,49.58
2006-04-25,49.66,49.75,48.98,49.59
2006-04-26,49.5,49.69,48.83,49.07
2006-04-27,48.74,49.98,48.74,49.73
2006-04-28,49.7,50.5,49.33,49.99
2006-05-01,50.0,50.23,49.1,49.18
2006-05-02,49.21,49.39,48.83,49.14
2006-05-03,49.0,49.49,48.92,49.39
2006-05-04,48.76,50.18,48.76,49.83
2006-05-05,50.03,51.2,49.96,50.96
2006-05-08,50.92,51.0,50.5,50.84
2006-05-09,50.75,51.01,50.5,50.73
2006-05-10,50.71,51.37,50.71,51.17
2006-05-11,51.04,51.05,50.42,50.65
2006-05-12,50.64,50.65,49.57,49.59
2006-05-15,49.6,50.03,49.25,49.92
2006-05-16,49.9,49.96,49.3,49.34
2006-05-17,49.16,49.66,48.55,48.62
2006-05-18,48.86,48.95,48.44,48.68
2006-05-19,48.84,48.95,48.3,48.61
2006-05-22,48.36,49.63,48.33,49.2
2006-05-23,49.32,49.43,48.69,48.74
2006-05-24,48.61,48.94,48.1,48.61
2006-05-25,48.86,49.19,48.55,49.19
2006-05-26,48.7,48.94,48.46,48.92
2006-05-30,48.8,49.15,48.35,48.35
2006-05-31,48.44,49.47,48.44,48.82
2006-06-01,48.89,49.5,48.73,49.41
2006-06-02,49.53,50.13,49.37,50.06
2006-06-05,49.83,50.17,49.44,49.7
2006-06-06,49.9,50.2,49.0,49.45
2006-06-07,49.5,49.9,49.46,49.56
2006-06-08,49.4,50.05,49.09,49.61
2006-06-09,49.62,50.0,49.33,49.66
2006-06-12,49.86,50.18,49.5,49.59
2006-06-13,49.47,49.8,49.28,49.48
2006-06-14,49.48,49.62,48.75,49.06
2006-06-15,49.6,49.6,48.73,49.18
2006-06-16,49.28,49.42,48.7,49.13
2006-06-19,49.2,49.3,48.05,48.26
