Date,Open,High,Low,Close
2006-01-03,118.89,118.89,112.89,115.8
2006-01-04,116.23,122.08,116.0,122.06
2006-01-05,123.98,124.0,119.75,120.28
2006-01-06,117.73,122.18,117.26,120.07
2006-01-09,120.28,125.0,120.28,123.7
2006-01-10,123.0,128.95,122.78,128.24
2006-01-11,128.93,130.22,125.23,127.32
2006-01-12,132.12,133.18,129.78,130.66
2006-01-13,131.49,131.5,126.73,127.95
2006-01-17,127.6,131.411,126.08,131.09
2006-01-18,129.84,132.1,127.76,128.66
2006-01-19,129.85,133.68,129.06,132.73
2006-01-20,133.01,133.669,127.42,128.08
2006-01-23,129.14,131.31,125.66,129.58
2006-01-24,130.34,135.5,130.02,134.12
2006-01-25,138.28,138.52,130.9,132.29
2006-01-26,133.9,135.17,131.91,134.03
2006-01-27,133.76,137.4,133.42,135.93
2006-01-30,136.56,139.5,134.4,135.98
2006-01-31,136.89,137.71,134.6,137.27
2006-02-01,137.56,137.94,128.66,129.66
2006-02-02,129.0,131.55,126.41,127.26
2006-02-03,117.54,124.55,111.37,114.69
2006-02-06,114.5,116.85,98.37,106.69
2006-02-07,103.96,108.59,98.82,100.51
2006-02-08,100.58,100.58,94.12,97.94
2006-02-09,97.67,103.74,97.03,101.5
2006-02-10,101.57,104.46,100.59,103.18
2006-02-13,103.42,104.45,99.85,101.02
2006-02-14,101.34,103.27,100.47,102.2
2006-02-15,101.53,103.5,100.42,102.17
2006-02-16,102.18,102.82,99.14,100.88
2006-02-17,100.27,101.0,96.768,96.92
2006-02-21,96.5,96.795,89.02,91.33
2006-02-22,90.36,94.6,89.55,93.24
2006-02-23,93.58,93.58,90.252,90.89
2006-02-24,88.95,95.95,88.88,94.81
2006-02-27,95.38,96.19,93.18,94.32
2006-02-28,94.64,94.856,89.5,90.2
2006-03-01,89.62,92.98,89.09,92.4
2006-03-02,91.93,93.8,90.53,91.59
2006-03-03,91.5,91.75,90.27,90.37
2006-03-06,90.79,92.83,87.78,89.79
2006-03-07,89.39,89.97,87.13,88.03
2006-03-08,87.2,88.44,85.63,88.0
2006-03-09,88.58,90.0,87.84,89.0
2006-03-10,88.8,93.689,88.36,92.98
2006-03-13,93.01,95.76,92.88,94.07
2006-03-14,94.02,96.0,93.29,94.38
2006-03-15,94.73,95.16,93.76,94.72
2006-03-16,95.14,99.59,94.3,98.37
2006-03-17,98.84,104.84,98.51,104.15
2006-03-20,104.32,107.65,102.5,104.91
2006-03-21,105.0,106.36,102.75,103.35
2006-03-22,102.57,107.57,102.039,107.03
2006-03-23,107.45,109.26,106.1,109.04
2006-03-24,109.52,112.45,108.33,112.06
2006-03-27,112.4,119.8,111.58,119.1
2006-03-28,119.51,122.15,117.05,118.95
2006-03-29,119.5,120.66,115.35,116.71
2006-03-30,115.75,120.03,115.4,118.66
2006-03-31,118.52,121.39,117.0,118.0
2006-04-03,119.84,119.87,113.5,114.0
2006-04-04,113.45,116.36,111.5,112.05
2006-04-05,112.38,113.5,110.54,111.88
2006-04-06,111.48,113.81,111.0,111.63
2006-04-07,112.5,113.48,108.14,108.74
2006-04-10,108.36,111.5,108.36,110.72
2006-04-11,110.7,111.65,105.11,106.01
2006-04-12,105.55,108.69,105.17,106.01
2006-04-13,104.73,107.45,101.12,106.08
2006-04-17,105.77,106.94,102.8,104.36
2006-04-18,103.96,107.95,103.96,107.07
2006-04-19,107.88,109.43,105.28,106.43
2006-04-20,106.27,109.16,105.68,107.98
2006-04-21,108.86,108.86,106.48,106.82
2006-04-24,107.18,110.77,106.79,108.98
2006-04-25,108.58,109.97,106.0,107.65
2006-04-26,107.99,108.68,105.05,107.92
2006-04-27,106.98,107.84,102.19,103.17
2006-04-28,119.8,128.11,119.08,127.0
2006-05-01,128.16,129.88,125.1,125.95
2006-05-02,126.62,129.4,123.83,124.66
2006-05-03,126.32,126.32,121.54,123.34
2006-05-04,122.86,128.74,122.78,127.95
2006-05-05,128.75,130.53,127.26,127.83
2006-05-08,128.53,128.53,126.05,126.55
2006-05-09,125.76,128.79,125.76,128.28
2006-05-10,127.64,132.0,127.139,128.82
2006-05-11,128.51,129.7,124.35,125.01
2006-05-12,124.3,124.99,116.76,118.02
2006-05-15,116.31,121.77,116.27,120.6
2006-05-16,121.15,122.72,118.29,120.79
2006-05-17,119.25,120.29,115.16,115.43
2006-05-18,116.25,118.45,112.5,113.06
2006-05-19,113.99,118.1,112.0,115.91
2006-05-22,115.23,115.36,111.179,113.61
2006-05-23,114.78,115.8,109.17,109.55
2006-05-24,109.35,111.88,103.46,109.01
2006-05-25,109.85,113.2,107.08,110.69
2006-05-26,111.0,113.83,109.56,112.76
2006-05-30,112.5,112.57,107.77,107.94
2006-05-31,108.63,111.81,107.61,111.29
2006-06-01,111.97,113.89,109.84,113.89
2006-06-02,115.0,118.7,114.5,117.08
2006-06-05,116.23,116.94,109.5,109.87
2006-06-06,110.17,111.17,105.99,108.06
2006-06-07,109.65,117.04,109.6,113.01
2006-06-08,112.37,114.7,110.0,114.35
2006-06-09,116.0,116.39,110.55,111.27
2006-06-12,110.79,113.08,110.37,110.5
2006-06-13,110.08,111.31,105.45,106.43
2006-06-14,106.23,108.3,104.12,106.2
2006-06-15,107.66,108.5,106.33,107.84
2006-06-16,107.54,107.75,103.7,104.76
2006-06-19,104.9,104.9,98.52,99.8
2006-06-20,99.22,100.9,97.08,98.99
2006-06-21,99.6,104.24,98.3,102.06
2006-06-22,101.88,105.18,100.39,104.62
2006-06-23,104.41,108.96,103.99,107.51
2006-06-26,108.16,108.69,104.59,106.75
2006-06-27,107.0,108.73,105.63,106.76
2006-06-28,107.46,108.5,105.06,106.92
2006-06-29,107.81,115.28,107.4,115.07
2006-06-30,115.975,117.97,112.05,115.0
2006-07-03,116.69,119.34,115.26,117.35
2006-07-05,116.49,118.58,114.07,118.17
2006-07-06,118.71,120.26,116.25,117.9
2006-07-07,117.4,117.57,114.41,115.08
2006-07-10,115.0,117.39,110.34,110.88
2006-07-11,110.49,115.4,109.74,114.78
2006-07-12,114.29,116.12,111.863,112.19
2006-07-13,113.23,118.0,113.23,114.62
2006-07-14,114.94,118.5,114.94,116.6
2006-07-17,116.06,117.43,113.75,114.86
2006-07-18,115.62,117.56,113.57,116.17
2006-07-19,116.55,122.13,116.06,121.27
2006-07-20,122.0,123.44,119.02,119.28
2006-07-21,118.88,119.63,116.46,117.2
2006-07-24,117.88,123.88,117.77,121.89
2006-07-25,122.87,123.57,119.66,121.91
2006-07-26,122.04,122.04,108.89,111.44
2006-07-27,100.7,106.46,97.13,99.3
2006-07-28,98.01,101.54,97.0,101.54
2006-07-31,101.54,101.54,94.5,95.2
2006-08-01,94.71,97.15,91.25,96.41
2006-08-02,96.62,98.86,96.4,97.93
2006-08-03,97.5,98.48,95.28,98.21
2006-08-04,98.3,101.4,98.3,99.54
2006-08-07,99.03,99.54,95.33,97.15
2006-08-08,97.5,99.68,96.32,97.13
2006-08-09,97.22,99.1,95.57,95.85
2006-08-10,95.11,95.83,92.27,95.42
2006-08-11,95.4,95.4,93.37,94.4
2006-08-14,95.47,95.47,91.89,92.02
2006-08-15,92.77,96.44,91.91,95.56
2006-08-16,96.17,96.95,94.45,96.95
2006-08-17,96.7,97.89,95.7,97.0
2006-08-18,97.0,97.26,95.73,96.76
2006-08-21,96.37,97.28,96.11,96.43
2006-08-22,96.03,96.91,93.94,94.64
2006-08-23,94.7,95.25,91.71,91.95
2006-08-24,91.85,94.63,90.4,94.0
2006-08-25,93.5,94.4,91.55,92.1
2006-08-28,91.85,93.93,91.85,93.21
2006-08-29,93.67,93.9,91.19,92.33
2006-08-30,92.71,93.1,91.12,92.41
2006-08-31,92.72,95.0,91.64,94.4
2006-09-01,95.07,95.32,93.75,95.05
2006-09-05,95.0,96.34,93.81,96.06
2006-09-06,95.83,96.14,94.59,95.03
2006-09-07,94.6,95.83,94.0,94.68
2006-09-08,95.25,95.69,93.22,93.34
2006-09-11,93.21,94.34,92.32,93.96
2006-09-12,94.34,95.53,93.46,95.15
2006-09-13,94.54,100.01,94.54,99.74
2006-09-14,100.03,101.97,97.05,97.37
2006-09-15,97.06,100.0,96.55,99.38
2006-09-18,101.61,104.45,101.61,102.49
2006-09-19,102.66,103.0,99.37,102.5
2006-09-20,103.0,103.48,101.1,101.64
2006-09-21,102.44,104.81,101.65,103.39
2006-09-22,103.03,103.03,101.34,102.36
2006-09-25,103.03,105.28,101.895,104.28
2006-09-26,104.75,105.38,103.25,104.54
2006-09-27,103.89,109.69,103.82,109.09
2006-09-28,109.1,109.11,106.54,107.85
2006-09-29,108.55,109.94,105.26,105.45
2006-10-02,105.21,106.03,102.32,102.51
2006-10-03,102.27,103.48,101.27,102.6
2006-10-04,102.34,104.68,101.51,104.24
2006-10-05,103.91,107.29,103.91,106.58
2006-10-06,108.1,108.4,105.75,106.22
2006-10-09,106.23,111.41,105.5,108.24
2006-10-10,108.59,110.11,107.0,108.96
2006-10-11,108.53,109.95,107.87,109.92
2006-10-12,111.33,114.11,110.34,111.98
2006-10-13,112.11,113.77,111.48,112.08
2006-10-16,112.47,113.09,111.26,111.66
2006-10-17,111.4,111.55,107.84,108.15
2006-10-18,108.31,109.22,106.56,107.32
2006-10-19,106.91,108.85,106.76,108.2
2006-10-20,107.99,108.63,107.06,107.73
2006-10-23,107.19,110.55,106.05,110.38
2006-10-24,110.04,110.38,108.0,109.06
2006-10-25,109.51,109.51,107.102,107.27
2006-10-26,108.41,118.72,107.28,112.16
2006-10-27,103.24,106.44,99.34,100.68
2006-10-30,99.59,101.54,97.4,100.7
2006-10-31,100.64,100.88,98.74,99.18
2006-11-01,99.0,100.2,96.87,97.15
2006-11-02,96.83,98.7,96.72,97.16
2006-11-03,97.04,97.46,95.64,96.6
2006-11-06,96.72,101.0,96.72,99.85
2006-11-07,100.04,101.79,98.09,98.78
2006-11-08,98.0,99.5,97.36,97.9
2006-11-09,97.5,97.95,96.32,96.47
2006-11-10,96.47,97.9,96.0,97.35
2006-11-13,96.34,97.08,94.8,95.22
2006-11-14,95.34,95.9,94.55,95.25
2006-11-15,94.99,96.1,94.25,95.2
2006-11-16,95.77,95.86,94.14,94.8
2006-11-17,94.27,96.1,93.92,95.79
2006-11-20,96.17,101.93,96.17,99.45
2006-11-21,99.7,99.94,98.08,98.9
2006-11-22,99.35,99.35,97.09,98.19
2006-11-24,97.75,99.22,97.01,99.06
2006-11-27,100.61,102.0,98.7,99.23
2006-11-28,99.14,103.5,98.67,102.8
2006-11-29,102.9,104.58,100.25,102.23
2006-11-30,102.24,102.53,100.42,101.62
2006-12-01,101.9,102.13,99.83,101.55
2006-12-04,101.56,103.5,101.21,102.29
2006-12-05,102.88,102.88,101.36,101.75
2006-12-06,101.8,104.07,101.52,103.87
2006-12-07,104.44,106.49,103.27,105.41
2006-12-08,105.34,106.98,104.75,104.97
2006-12-11,105.57,107.5,105.35,106.48
2006-12-12,106.2,107.2,104.87,105.66
2006-12-13,105.79,106.03,103.37,103.9
2006-12-14,103.76,105.69,103.331,103.69
2006-12-15,104.22,105.5,103.07,103.87
2006-12-18,104.48,105.0,101.94,102.05
2006-12-19,101.69,102.0,100.16,101.5
2006-12-20,101.52,102.12,100.29,100.44
2006-12-21,100.38,100.804,98.77,98.96
2006-12-22,99.0,99.74,96.83,97.02
2006-12-26,97.02,97.21,96.258,96.46
2006-12-27,97.03,98.5,96.54,96.99
2006-12-28,96.5,97.15,96.09,96.73
2006-12-29,96.6,97.47,95.64,95.9
2007-01-03,97.04,97.89,93.03,94.48
2007-01-04,94.17,95.89,94.15,95.2
2007-01-05,95.08,95.93,93.52,94.08
2007-01-08,93.67,93.91,90.81,91.2
2007-01-09,91.04,92.04,88.79,89.37
2007-01-10,89.0,89.31,86.68,87.11
2007-01-11,86.8,91.51,86.2,91.24
2007-01-12,91.92,94.79,91.92,94.03
2007-01-16,94.72,94.72,92.81,93.11
2007-01-17,92.96,95.0,92.62,94.75
2007-01-18,94.78,95.26,93.34,93.56
2007-01-19,93.3,93.99,92.76,93.41
2007-01-22,94.7,97.47,94.13,97.08
2007-01-23,97.09,98.81,96.4,97.6
2007-01-24,97.8,98.0,96.47,96.86
2007-01-25,96.86,96.87,94.4,95.16
2007-01-26,95.33,95.82,93.732,94.98
2007-01-29,95.33,97.68,94.59,97.52
2007-01-30,97.06,98.45,95.44,98.2
2007-01-31,98.24,99.19,96.65,98.41
2007-02-01,99.14,99.86,98.38,99.32
2007-02-02,115.0,117.97,113.54,116.77
2007-02-05,116.06,117.0,114.28,114.85
