Date,Open,High,Low,Close
2006-01-03,15.8,16.19,15.41,15.9
2006-01-04,16.01,16.01,15.51,15.92
2006-01-05,15.8,16.7,15.78,16.45
2006-01-06,16.57,17.34,15.94,17.0
2006-01-09,16.88,17.68,16.67,17.13
2006-01-10,16.99,17.1,16.15,16.72
2006-01-11,16.65,16.77,15.96,16.29
2006-01-12,16.26,16.63,15.7,15.84
2006-01-13,15.82,17.43,15.82,16.13
2006-01-17,15.98,16.3,15.81,15.95
2006-01-18,15.75,15.82,15.33,15.77
2006-01-19,15.76,16.6,15.45,16.47
2006-01-20,16.56,16.56,15.33,15.5
2006-01-23,15.45,15.65,14.35,15.22
2006-01-24,15.23,15.23,14.69,15.11
2006-01-25,15.08,15.46,15.01,15.27
2006-01-26,15.45,15.63,15.13,15.52
2006-01-27,15.51,15.9,15.33,15.44
2006-01-30,15.37,15.66,15.12,15.18
2006-01-31,15.12,15.4,15.0,15.23
2006-02-01,15.15,15.92,15.15,15.77
2006-02-02,15.67,15.98,15.48,15.68
2006-02-03,15.92,17.02,15.78,16.19
2006-02-06,16.22,16.24,15.33,15.89
2006-02-07,15.78,16.22,15.38,15.48
2006-02-08,15.48,15.7,15.24,15.41
2006-02-09,15.4,15.85,15.19,15.31
2006-02-10,15.25,15.4,14.87,15.33
2006-02-13,15.23,15.65,14.84,14.99
2006-02-14,15.08,15.47,14.66,15.31
2006-02-15,15.24,15.65,15.02,15.58
2006-02-16,15.61,15.79,15.25,15.71
2006-02-17,15.78,15.79,15.04,15.09
2006-02-21,15.06,15.6,14.82,15.28
2006-02-22,15.4,15.4,14.98,15.12
2006-02-23,15.1,15.17,14.94,15.04
2006-02-24,15.0,16.23,15.0,16.0
2006-02-27,16.33,17.64,16.25,17.5
2006-02-28,17.33,18.0,16.28,16.37
2006-03-01,16.37,17.03,16.37,16.77
2006-03-02,16.81,17.34,16.6,17.3
2006-03-03,17.25,17.94,16.84,17.15
2006-03-06,17.17,18.0,17.17,18.0
2006-03-07,18.0,18.0,17.026,17.16
2006-03-08,17.01,17.44,16.3,17.28
2006-03-09,17.28,17.28,16.24,16.3
2006-03-10,16.22,17.12,16.0,16.7
2006-03-13,16.85,17.07,16.23,16.3
2006-03-14,16.3,17.0,16.18,16.91
2006-03-15,16.85,16.93,16.26,16.63
2006-03-16,16.64,17.22,16.6,16.97
2006-03-17,17.1,17.34,16.7,16.77
2006-03-20,16.77,17.22,16.23,16.49
2006-03-21,16.41,16.83,16.23,16.27
2006-03-22,16.28,17.88,16.24,16.91
2006-03-23,16.95,17.27,16.77,17.07
2006-03-24,17.11,17.28,16.67,17.2
2006-03-27,17.23,17.25,16.35,16.89
2006-03-28,16.81,16.87,16.17,16.24
2006-03-29,16.25,16.64,16.17,16.25
2006-03-30,16.29,16.68,16.25,16.53
2006-03-31,16.59,16.81,16.25,16.63
2006-04-03,16.55,16.69,15.86,15.96
2006-04-04,15.96,16.15,15.69,15.72
2006-04-05,15.79,15.88,15.56,15.69
2006-04-06,15.68,15.74,15.12,15.27
2006-04-07,15.37,15.66,15.1,15.15
2006-04-10,15.06,15.23,14.37,14.41
2006-04-11,14.48,14.79,13.83,13.92
2006-04-12,13.97,14.35,13.76,13.89
2006-04-13,13.88,14.43,13.77,14.23
2006-04-17,14.28,14.85,14.21,14.59
2006-04-18,14.69,15.44,14.57,15.12
2006-04-19,15.2,15.33,14.81,15.25
2006-04-20,15.23,15.31,14.68,15.09
2006-04-21,15.21,15.21,14.73,14.98
2006-04-24,15.3,15.33,14.42,14.52
2006-04-25,14.56,14.58,13.85,13.99
2006-04-26,14.05,14.22,13.6,13.78
2006-04-27,13.63,14.4,13.58,14.23
2006-04-28,14.05,14.84,14.05,14.52
2006-05-01,14.66,14.8,14.2,14.21
2006-05-02,14.18,14.58,14.15,14.51
2006-05-03,14.41,15.365,14.0,15.34
2006-05-04,15.34,15.59,15.09,15.17
2006-05-05,15.06,15.32,14.88,15.17
2006-05-08,15.09,15.78,15.08,15.45
2006-05-09,15.45,15.6,15.19,15.23
2006-05-10,15.2,15.424,15.05,15.25
2006-05-11,15.25,15.28,14.53,14.54
2006-05-12,14.52,14.56,13.58,13.72
2006-05-15,13.61,13.82,12.83,12.99
2006-05-16,12.96,13.5,12.76,12.82
2006-05-17,12.79,12.95,12.03,12.33
2006-05-18,12.35,12.79,12.0,12.02
2006-05-19,12.0,12.47,11.39,11.99
2006-05-22,11.95,12.17,11.41,11.9
2006-05-23,11.98,12.45,11.28,11.42
2006-05-24,11.49,11.66,10.97,11.58
2006-05-25,11.74,12.02,11.49,12.0
2006-05-26,12.09,12.24,11.88,12.09
2006-05-30,12.0,12.16,11.45,11.56
2006-05-31,11.54,12.94,11.54,12.94
2006-06-01,12.93,13.0,12.38,12.85
2006-06-02,12.98,13.4,12.76,13.2
2006-06-05,13.07,13.27,12.82,12.92
2006-06-06,12.98,13.09,12.63,12.98
2006-06-07,12.98,13.42,12.86,13.17
2006-06-08,13.04,13.144,12.22,13.03
2006-06-09,13.1,13.3,12.61,12.71
2006-06-12,12.64,12.78,12.09,12.09
2006-06-13,12.14,12.5,11.79,12.01
2006-06-14,12.01,12.34,11.81,12.22
2006-06-15,12.27,12.65,12.16,12.62
2006-06-16,12.56,12.6,12.0,12.48
2006-06-19,12.58,12.58,12.22,12.35
2006-06-20,12.37,12.47,12.25,12.31
2006-06-21,12.31,12.55,12.22,12.38
2006-06-22,12.32,12.44,12.07,12.32
2006-06-23,12.21,12.47,12.12,12.3
2006-06-26,12.39,12.5,12.24,12.46
2006-06-27,12.48,12.63,12.07,12.18
2006-06-28,12.29,12.4,11.97,12.27
2006-06-29,12.41,13.0,12.32,12.9
2006-06-30,13.02,13.184,12.63,12.82
2006-07-03,12.82,13.25,12.82,13.22
2006-07-05,13.02,13.25,12.57,12.86
2006-07-06,12.9,13.06,12.6,12.8
2006-07-07,12.8,13.2,12.56,12.74
2006-07-10,12.84,13.03,12.66,12.79
2006-07-11,12.74,13.04,12.6,13.02
2006-07-12,12.96,13.5,12.63,12.69
2006-07-13,12.61,12.74,12.13,12.16
2006-07-14,12.13,12.2,11.88,11.92
2006-07-17,11.91,12.1,11.61,11.68
2006-07-18,11.75,11.96,11.1,11.23
2006-07-19,11.2,12.34,11.2,12.29
2006-07-20,12.27,12.4,11.51,11.58
2006-07-21,11.5,11.51,10.88,11.12
2006-07-24,11.23,12.16,11.23,12.09
2006-07-25,12.14,12.81,11.98,12.5
2006-07-26,12.48,12.83,12.0,12.66
2006-07-27,12.98,13.53,12.7,13.53
2006-07-28,13.67,13.93,13.31,13.8
2006-07-31,13.81,13.82,13.45,13.66
2006-08-01,13.59,13.61,13.01,13.21
2006-08-02,13.23,14.0,13.23,13.59
2006-08-03,13.5,14.25,13.25,13.96
2006-08-04,14.2,14.46,13.79,14.0
2006-08-07,13.82,14.12,13.62,14.09
2006-08-08,14.19,14.46,13.91,14.23
2006-08-09,14.44,14.7,13.95,14.25
2006-08-10,14.24,14.61,13.89,13.91
2006-08-11,13.9,14.0,13.48,13.91
2006-08-14,14.1,14.24,13.75,13.8
2006-08-15,14.07,14.49,13.98,14.45
2006-08-16,14.55,15.0,14.52,14.86
2006-08-17,14.86,15.21,14.66,15.2
2006-08-18,15.24,15.42,14.7,15.41
2006-08-21,15.33,15.38,14.8,14.95
2006-08-22,14.96,15.1,14.62,14.95
2006-08-23,14.91,14.99,14.48,14.62
2006-08-24,14.71,14.92,14.51,14.55
2006-08-25,14.47,14.93,14.47,14.79
2006-08-28,14.71,15.1,14.71,15.04
2006-08-29,15.02,15.67,15.01,15.47
2006-08-30,15.53,15.95,15.42,15.92
2006-08-31,15.95,16.19,15.74,15.88
2006-09-01,15.92,15.92,15.55,15.82
2006-09-05,15.88,16.48,15.82,16.37
2006-09-06,16.22,16.28,15.51,15.75
2006-09-07,15.61,16.05,15.51,15.83
2006-09-08,15.87,16.02,15.76,16.0
2006-09-11,15.89,16.0,15.61,15.98
2006-09-12,16.0,16.48,15.83,16.4
2006-09-13,16.42,16.64,16.21,16.52
2006-09-14,16.39,16.72,16.31,16.55
