Date,Open,High,Low,Close
2006-01-03,18.52,18.59,18.28,18.57
2006-01-04,18.57,18.7,18.39,18.66
2006-01-05,18.61,18.72,18.53,18.65
2006-01-06,18.74,18.74,18.48,18.72
2006-01-09,18.7,18.73,18.61,18.67
2006-01-10,18.58,18.77,18.52,18.76
2006-01-11,18.79,18.79,18.55,18.62
2006-01-12,18.55,18.83,18.54,18.81
2006-01-13,18.78,18.86,18.73,18.82
2006-01-17,18.82,19.07,18.74,19.03
2006-01-18,19.03,19.14,18.92,19.08
2006-01-19,19.17,19.24,19.02,19.13
2006-01-20,19.16,19.2,18.93,19.03
2006-01-23,19.08,19.2,19.07,19.15
2006-01-24,19.17,19.34,19.1,19.29
2006-01-25,19.27,19.39,19.09,19.22
2006-01-26,19.32,19.46,19.15,19.25
2006-01-27,19.2,19.5,19.2,19.45
2006-01-30,19.42,19.43,19.24,19.28
2006-01-31,19.27,19.48,19.27,19.42
2006-02-01,19.4,19.61,19.21,19.44
2006-02-02,19.2,19.21,18.85,18.95
2006-02-03,18.85,19.11,18.65,18.96
2006-02-06,18.96,18.98,18.76,18.78
2006-02-07,18.69,18.75,18.49,18.5
2006-02-08,18.48,18.53,18.27,18.31
2006-02-09,18.4,18.77,18.33,18.64
2006-02-10,18.64,18.78,18.5,18.59
2006-02-13,18.53,18.63,18.35,18.41
2006-02-14,18.43,18.54,18.33,18.41
2006-02-15,18.4,18.6,18.34,18.6
2006-02-16,18.56,18.6,18.48,18.57
2006-02-17,18.59,19.02,18.55,18.93
2006-02-21,18.92,19.04,18.83,18.97
2006-02-22,19.03,19.2,18.9932,19.17
2006-02-23,19.18,19.2,18.86,18.95
2006-02-24,19.03,19.05,18.94,19.03
2006-02-27,19.0,19.03,18.73,18.85
2006-02-28,18.78,18.8,18.49,18.56
2006-03-01,18.56,18.63,18.41,18.45
2006-03-02,18.45,18.47,18.26,18.35
2006-03-03,18.35,18.38,18.21,18.23
2006-03-06,18.23,18.25,17.94,18.17
2006-03-07,18.17,18.18,18.0,18.05
2006-03-08,18.0,18.28,17.91,18.2
2006-03-09,18.25,18.26,18.07,18.11
2006-03-10,18.1,18.24,18.073,18.19
2006-03-13,18.26,18.43,18.18,18.4
2006-03-14,18.422,18.44,18.26,18.43
2006-03-15,18.43,18.58,18.4024,18.52
2006-03-16,18.57,18.84,18.54,18.7
2006-03-17,18.7,18.75,18.48,18.5
2006-03-20,18.5,18.61,18.29,18.3
2006-03-21,18.35,18.45,18.26,18.42
2006-03-22,18.39,18.5,18.29,18.47
2006-03-23,18.5,18.5,18.25,18.47
2006-03-24,18.44,18.5,18.36,18.43
2006-03-27,18.41,18.49,18.38,18.39
2006-03-28,18.18,18.2,18.0,18.11
2006-03-29,18.12,18.32,18.08,18.29
2006-03-30,18.26,18.32,18.03,18.11
2006-03-31,18.11,18.25,18.03,18.15
2006-04-03,18.21,18.43,18.14,18.3
2006-04-04,18.35,18.6,18.27,18.54
2006-04-05,18.55,18.6,18.37,18.52
2006-04-06,18.49,18.54,18.28,18.3
2006-04-07,18.3,18.35,18.05,18.07
2006-04-10,18.09,18.22,18.03,18.07
2006-04-11,18.11,18.19,17.98,18.03
2006-04-12,18.02,18.08,17.85,17.89
2006-04-13,17.89,17.98,17.8,17.92
2006-04-17,17.93,18.0,17.85,17.92
2006-04-18,17.93,18.28,17.91,18.2
2006-04-19,18.3,18.43,18.17,18.22
2006-04-20,18.4,18.55,18.3,18.41
2006-04-21,18.53,18.53,18.17,18.3
2006-04-24,18.32,18.54,18.25,18.45
2006-04-25,18.5,18.5,18.1,18.21
2006-04-26,18.21,18.33,18.01,18.1
